age,education_fill_1,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none
48,1,0,507864,1077528,2,2,0
34,2,0,591636,1148400,2,2,0
29,1,0,820584,1524000,5,4,0
29,2,0,578796,747108,2,2,0
39,2,0,620676,937464,13,4,0
26,2,0,404628,841404,0,0,0
39,2,0,699108,873348,0,0,0
48,2,1,559740,768996,6,2,0
49,1,0,624936,721704,2,2,0
35,2,0,788184,1070448,5,4,0
28,1,0,548028,756912,3,2,0
31,2,0,812676,986040,17,8,0
28,1,0,903012,1026000,3,3,0
39,1,0,708156,880560,2,0,0
31,1,3,828996,1149576,2,0,0
25,2,1,589236,862368,0,0,0
30,1,0,968232,1415604,0,0,0
35,1,0,644832,857292,0,0,0
42,2,0,603636,824196,0,0,0
46,2,0,1168680,1948536,7,2,0
35,2,0,730956,952104,0,0,0
33,1,0,948360,1141908,6,2,0
48,2,0,660156,935100,4,2,0
23,1,0,797784,943596,0,0,0
32,1,0,523128,690312,5,4,0
47,1,0,544188,805548,0,0,0
42,2,0,353808,818940,2,2,0
41,2,0,672156,833076,0,0,0
28,2,3,707364,918888,0,0,0
28,1,0,608436,736812,0,0,0
39,1,0,677508,817200,4,2,0
48,2,0,535740,761496,4,3,0
31,2,0,606936,706308,0,0,0
48,2,0,1002396,1361244,4,3,0
32,2,0,458868,681000,0,0,0
28,2,0,636948,751308,7,6,0
28,2,0,543528,767340,0,0,0
25,2,0,936948,1398360,0,0,0
34,2,0,590052,766752,0,0,0
26,1,0,710556,818628,2,0,0
46,2,0,1067868,1296336,14,7,0
40,2,0,568188,1115124,0,0,0
47,1,0,639636,770316,4,2,0
29,1,0,611436,845844,0,0,0
41,2,1,679956,1143168,0,0,0
26,1,0,661908,813432,0,0,0
49,2,0,789228,1066680,3,3,0
29,1,0,752556,919944,0,0,0
36,1,0,672156,804000,0,0,0
47,1,0,855804,1166652,4,3,0
41,1,0,368040,566400,0,0,0
42,2,0,731364,932700,0,0,0
25,1,0,598836,781920,0,0,0
25,1,0,671508,815460,2,2,0
28,2,3,562680,842880,0,0,0
30,1,0,663120,809964,3,3,0
48,2,0,687108,829200,20,10,1
34,2,0,562656,780324,0,0,0
29,2,1,679056,826944,9,3,0
47,2,0,509928,799980,0,0,0
30,1,0,580188,859500,0,0,0
47,2,1,684936,900636,2,2,0
38,2,0,831108,946860,2,2,0
48,2,0,669108,821856,4,3,0
27,1,0,659472,961200,0,0,0
34,2,0,756744,937836,0,0,0
44,2,0,539388,747840,0,0,0
25,1,0,686640,832212,0,0,0
49,2,0,767184,886668,8,2,0
41,2,1,430068,596412,0,0,0
43,2,0,669108,884184,8,4,0
32,2,0,688956,867612,0,0,0
28,1,0,841476,1390212,0,0,0
37,2,0,663108,914400,0,0,0
25,1,1,650436,863532,0,0,0
42,2,0,818028,1272492,7,6,0
31,2,0,1168680,1944168,4,3,0
31,2,1,482520,889536,0,0,0
26,2,0,776028,1035600,2,0,0
36,2,2,503928,835152,0,0,0
32,1,0,568188,696000,2,0,0
30,2,0,651108,946080,4,4,1
33,2,0,542220,709572,0,0,0
41,1,0,508728,673884,4,4,0
28,1,0,434868,687600,0,0,0
34,1,0,687636,811056,0,0,0
50,2,0,552000,961548,0,0,0
29,2,0,556356,887400,0,0,0
25,1,1,564588,799920,0,0,0
29,2,0,826584,1224840,0,0,0
33,2,0,565188,2101500,8,4,0
29,1,0,612936,767364,0,0,0
50,2,0,539388,716700,14,8,0
33,2,0,837600,1004400,0,0,0
41,2,0,632436,727644,6,5,0
23,1,0,494328,806736,3,2,0
39,1,0,608436,741600,6,3,0
46,2,0,865476,1243200,5,4,0
36,2,2,612936,854364,3,3,0
38,2,0,654168,755004,7,5,0
47,2,0,532188,845376,0,0,0
29,2,0,609636,854016,2,2,0
31,2,0,540588,883200,0,0,0
41,2,0,719364,825432,19,5,0
34,2,0,835476,1173600,4,2,0
22,1,0,741756,844656,0,0,0
39,2,0,805920,955440,0,0,0
33,2,0,651636,891396,0,0,0
46,2,0,947988,1071276,0,0,0
29,2,0,575388,853692,4,0,0
30,2,1,705276,1122948,0,0,0
44,2,1,427668,867996,2,2,0
32,2,0,622872,828000,3,3,1
26,1,0,600036,840552,0,0,0
41,1,0,534000,753000,0,0,0
35,2,0,505128,655320,0,0,0
48,1,0,693108,884352,0,0,0
35,1,1,646620,781812,0,0,0
34,1,0,680508,866400,4,2,0
46,2,0,449268,763812,8,4,0
48,1,1,722556,825276,0,0,0
35,1,0,673908,811104,8,4,0
28,2,0,490728,1635600,0,0,0
23,1,0,502728,1081800,0,0,0
34,2,0,739392,957600,7,2,0
44,2,1,651636,880236,0,0,0
32,1,0,545388,821640,2,2,0
46,1,0,826584,1028736,0,0,0
47,2,0,687108,947664,0,0,0
34,2,1,568188,799728,2,0,0
34,1,0,657708,837684,0,0,0
25,1,0,648000,781800,0,0,0
36,1,0,496728,832200,6,4,0
40,2,0,663108,760968,0,0,0
30,2,1,684156,870912,2,0,0
48,2,1,616536,920700,2,2,0
39,2,0,732156,940800,0,0,0
29,1,1,1163880,1662420,0,0,0
44,2,0,586188,1074408,12,2,0
49,1,0,478728,800448,0,0,0
49,2,1,547188,1017456,3,2,0
42,2,0,796584,912000,0,0,0
47,1,0,481728,620400,0,0,0
42,2,1,540588,727860,0,0,0
35,2,0,612936,731868,2,0,0
30,2,1,691344,859308,0,0,0
33,2,0,1037868,1419492,9,3,0
32,1,0,539988,676680,0,0,0
32,2,0,663108,818520,9,9,0
29,1,0,852924,1056852,0,0,0
29,1,0,669108,772572,0,0,0
38,2,0,608196,887040,4,2,0
37,1,0,699108,840912,0,0,0
26,2,0,621636,757188,0,0,0
29,2,3,480648,794940,0,0,0
39,1,0,556188,756600,0,0,0
47,1,0,643068,859056,7,2,0
27,2,0,777744,1190904,0,0,0
41,1,0,589740,864000,6,3,0
49,1,1,554076,874128,0,0,0
31,2,0,1045440,1977216,0,0,0
33,2,3,624936,765384,2,2,0
34,1,0,603636,709860,10,4,0
33,2,0,666156,857964,0,0,0
47,1,0,415200,570600,0,0,0
27,1,0,589740,875316,5,2,0
48,1,0,743364,858000,0,0,0
25,1,3,613044,924108,0,0,0
26,2,0,580188,727584,2,0,0
31,1,0,568188,1111524,4,4,0
42,2,0,775308,996324,2,2,0
33,1,0,672156,769716,18,5,0
39,2,3,634536,812124,7,3,0
36,1,3,724644,950448,7,2,0
49,2,0,404400,763560,2,2,0
50,2,0,508728,593208,17,10,1
44,2,0,574188,681036,2,0,0
33,1,0,649908,807720,9,3,0
26,1,0,857004,1185444,0,0,0
39,2,1,757764,1152816,0,0,0
29,1,0,699108,806376,6,6,0
38,2,0,580188,868356,0,0,0
49,2,0,612936,756252,6,5,0
28,1,0,780828,990048,2,2,0
38,2,0,639636,834480,0,0,0
43,1,0,998220,1366284,3,3,0
44,2,0,637236,922800,3,2,0
48,2,3,1092660,1547580,6,2,0
38,2,1,734556,960336,2,2,0
33,1,0,711036,1052076,3,3,0
42,1,0,853476,1053132,15,2,0
44,1,0,615636,840912,20,3,0
47,2,0,484728,1049988,3,2,0
28,2,0,582936,827040,0,0,0
40,1,0,675108,817164,0,0,0
37,1,1,590556,744360,6,2,0
48,2,0,819804,965520,0,0,0
49,2,0,627636,799200,2,2,0
24,1,0,719364,920880,0,0,0
37,2,0,516120,847668,0,0,0
29,2,1,731196,1188000,0,0,0
49,2,1,484728,945000,8,4,0
28,2,0,1127316,1663464,10,3,0
42,1,0,586188,756216,8,4,0
28,1,0,603636,698724,0,0,0
28,1,0,621636,852228,0,0,0
35,1,0,657108,866580,4,2,0
38,2,0,722556,901176,0,0,0
42,2,0,651108,748764,6,3,0
48,2,0,675108,781632,0,0,0
45,2,1,520728,823212,0,0,0
48,2,0,663108,845976,3,0,0
27,1,3,463668,873492,4,0,0
28,1,0,859476,1104000,0,0,0
40,2,0,743364,1022400,3,3,0
48,2,0,492888,920772,11,6,0
33,1,0,556188,1119504,3,0,0
35,1,0,702156,795720,9,2,0
35,2,0,679908,852000,4,3,0
46,2,0,592188,886212,15,0,0
40,2,0,393408,494664,0,0,0
30,2,0,591636,874596,2,0,0
43,2,0,924792,1327944,21,3,0
37,2,0,342348,600912,2,0,0
42,1,0,707280,951480,7,5,0
27,2,0,783384,1138056,0,0,0
34,2,0,607236,687684,0,0,0
32,1,3,582660,891024,0,0,0
38,1,3,795552,1170528,2,0,0
37,2,1,696156,939336,2,2,0
36,2,1,706164,911256,0,0,0
47,1,0,648156,1237452,7,2,0
33,2,0,743364,867396,2,2,0
43,2,0,644748,897540,0,0,0
28,1,0,420036,552000,0,0,0
37,2,0,878388,1273260,3,0,0
44,1,0,606936,781044,3,3,0
48,2,0,609636,739068,0,0,0
37,1,0,786552,900000,8,6,0
48,1,0,532188,856872,0,0,0
43,1,0,668400,809496,35,7,1
27,1,0,806028,961200,5,3,0
44,2,0,682308,891996,2,0,0
34,1,0,758556,1085616,2,0,0
27,1,0,678156,834564,2,0,0
43,2,0,637236,804000,0,0,0
36,2,0,550668,780792,0,0,0
45,2,0,655908,923004,2,2,0
43,1,3,600036,760800,3,2,0
46,2,0,686472,804000,11,3,0
39,2,0,655356,769980,0,0,0
38,1,0,616836,765840,2,0,0
40,2,0,455268,843360,6,0,0
42,2,3,837804,1296084,0,0,0
26,2,0,416868,804348,0,0,0
43,2,0,467268,702000,0,0,0
46,2,0,668508,817440,6,4,0
30,1,0,663108,859212,0,0,0
36,1,0,651156,815784,5,3,0
36,2,0,681108,831408,2,2,0
35,2,0,544140,821640,2,2,0
42,2,0,1157880,1591200,0,0,0
34,2,0,596436,882240,0,0,0
45,2,0,565788,801096,0,0,0
46,2,0,758556,936420,6,0,0
37,2,0,758556,864504,0,0,0
39,2,0,520728,740412,0,0,0
29,2,0,520728,1087680,3,3,0
41,2,0,734556,917964,2,0,0
32,2,0,841440,1155636,0,0,0
50,2,0,697908,819120,4,3,0
32,2,0,1138788,1976400,0,0,0
26,2,0,687108,863520,0,0,0
27,1,0,539028,798792,0,0,0
47,2,0,577740,753516,3,2,0
32,2,0,508728,755664,0,0,0
47,2,0,774828,909720,0,0,0
38,2,0,449268,711144,2,2,0
24,1,0,675108,785160,0,0,0
39,2,0,804984,1340472,0,0,0
47,1,0,580188,782700,0,0,0
47,2,0,458868,786996,0,0,0
37,1,0,410868,789156,0,0,0
34,1,0,512028,858564,0,0,0
30,1,0,772428,1052340,2,0,0
33,1,2,702156,1143240,4,4,0
39,2,0,496728,734136,2,2,0
26,2,0,672924,941316,0,0,0
39,2,0,1100460,1495200,15,4,0
36,1,0,693600,888000,0,0,0
46,2,1,861804,1245624,4,3,0
26,2,0,961632,1400400,0,0,0
33,2,0,1145868,2093256,0,0,0
42,2,3,570792,830604,0,0,0
26,1,0,599736,772584,0,0,0
26,2,0,665868,901464,0,0,0
31,2,0,1086660,2020200,0,0,0
49,2,0,413268,991032,2,0,0
44,2,0,443172,713172,8,5,0
48,1,0,753756,893100,2,0,0
25,1,0,562188,774720,0,0,0
39,1,0,455268,855600,2,0,0
44,1,0,293388,837600,0,0,0
28,1,0,365808,558000,2,2,0
30,2,0,437268,792984,0,0,0
46,1,0,683760,906324,2,0,0
42,2,0,688956,833304,3,2,0
43,2,3,615636,919668,0,0,0
45,1,0,749364,802764,9,2,0
36,1,0,692508,883932,3,2,0
30,2,0,532188,821100,0,0,0
31,2,0,739764,1079820,0,0,0
30,1,0,779628,996000,0,0,0
38,2,0,746916,855120,6,3,0
45,1,0,656268,886440,4,4,0
25,1,0,472728,730980,0,0,0
46,2,0,656556,852000,0,0,0
46,2,0,585636,808728,4,3,0
44,2,0,460068,781104,0,0,0
50,2,0,449268,803520,0,0,0
41,2,0,871476,1224000,0,0,0
50,2,0,652956,777084,6,4,0
45,2,0,621636,826920,3,2,0
44,2,0,687108,991428,2,2,0
39,1,0,477528,916800,0,0,0
45,1,0,621636,755400,2,2,0
37,2,0,672168,779868,5,2,0
27,2,0,553740,730200,0,0,0
31,2,0,892116,1787520,0,0,0
35,1,0,548220,768732,0,0,0
25,1,0,725364,824232,3,2,0
28,1,0,853476,1444896,4,4,0
46,1,0,582588,720660,0,0,0
26,1,0,814584,1182000,0,0,0
39,2,0,583788,901152,24,4,0
29,1,0,591636,801588,26,10,0
37,2,0,538188,899736,2,2,0
25,2,0,653100,846288,0,0,0
50,1,0,462900,558000,0,0,0
33,1,0,488328,559200,0,0,0
30,2,0,879012,1361760,0,0,0
45,2,0,855804,1018800,0,0,0
28,1,1,626136,766572,0,0,0
41,1,0,747756,859632,0,0,0
36,2,0,699564,905400,0,0,0
31,1,0,495528,784080,0,0,0
28,1,0,687756,840000,2,2,0
29,2,0,708636,883200,0,0,0
38,2,0,568188,781752,15,11,0
45,2,0,738156,857220,4,0,0
24,2,0,517128,829788,0,0,0
49,2,1,761364,821952,5,4,0
46,2,0,837804,1248000,2,2,0
35,2,0,502728,744276,6,4,0
43,2,0,515928,745980,20,12,1
45,2,0,742956,847260,6,2,0
49,2,0,541740,1020492,2,2,0
26,2,1,731364,1074552,2,2,0
25,2,3,577740,737676,0,0,0
35,2,1,600936,776952,0,0,0
24,2,0,850044,1346112,0,0,0
31,2,0,568188,813276,4,2,0
49,2,0,523296,797736,2,2,0
28,2,0,722556,890544,5,4,0
23,1,0,532188,905928,2,2,0
26,1,0,1143048,1811448,2,0,0
31,2,0,691908,803376,6,2,0
27,1,1,684156,1017084,0,0,0
45,2,0,645636,835572,17,4,0
24,1,0,580188,727068,0,0,0
49,2,0,627636,753744,8,4,0
47,2,0,647316,849384,3,2,0
40,2,0,664308,780024,14,3,1
24,1,0,722556,867804,2,0,0
47,1,0,557376,721536,0,0,0
29,1,0,520728,722196,0,0,0
36,2,0,670272,802488,7,5,0
25,1,1,724728,863736,2,2,0
35,1,0,658308,862404,4,2,0
26,2,0,660156,924000,0,0,0
34,2,0,642588,874800,0,0,0
26,1,0,568740,747720,2,0,0
29,2,0,633636,744972,0,0,0
33,2,1,997440,1381320,0,0,0
33,2,0,1122240,1811712,0,0,0
39,2,1,693132,1276200,26,3,0
25,2,0,695460,1260372,0,0,0
34,2,0,744468,890820,0,0,0
48,2,3,716028,1136976,0,0,0
47,1,0,612036,793608,0,0,0
40,2,0,589788,728868,24,11,1
34,1,0,546588,829788,3,3,0
29,1,0,606036,834804,3,2,0
36,2,0,365808,778980,9,0,0
43,1,1,729300,1153716,0,0,0
39,2,0,425268,924504,0,0,0
46,2,0,673308,799332,0,0,0
47,2,1,472728,675240,0,0,0
44,1,0,627636,761496,3,2,0
25,2,0,486108,811332,0,0,0
35,2,1,1000560,1419900,2,2,0
47,1,0,1157880,1704000,0,0,0
47,2,1,747780,1188204,0,0,0
29,1,0,675108,862080,0,0,0
43,2,0,654108,905568,10,2,0
44,2,0,453468,932736,0,0,0
38,2,0,586776,730800,7,4,0
25,2,0,559968,678000,0,0,0
37,2,0,653508,751524,2,2,0
35,1,1,667908,924108,3,3,0
46,1,0,791484,923952,0,0,0
26,2,0,968232,1326000,0,0,0
37,2,0,461268,852312,2,0,0
38,1,0,391008,792000,11,6,0
36,2,0,573600,803616,2,2,0
42,1,0,743364,1032864,3,2,0
24,2,0,544188,813024,3,3,0
44,2,0,606936,828000,8,4,0
48,1,0,502692,712572,3,0,0
32,1,0,739356,944400,4,0,0
38,1,0,682956,907680,2,2,0
48,2,0,582216,791100,8,4,0
40,2,1,526728,709104,3,3,0
29,2,0,761364,962412,0,0,0
32,2,1,562188,907800,0,0,0
39,1,0,580008,801108,0,0,0
45,2,0,393408,822240,0,0,0
28,2,0,1145880,1768800,0,0,0
43,2,0,660000,877188,6,2,0
29,2,3,608136,833940,0,0,0
48,2,2,520728,855600,0,0,0
46,1,0,597636,910308,0,0,0
33,1,0,537828,890040,0,0,0
38,1,0,639636,834000,0,0,0
31,1,0,615636,807396,8,3,0
40,2,0,802584,992400,0,0,0
43,1,0,520728,834804,0,0,0
29,2,1,687108,1036800,0,0,0
26,2,0,552540,864000,0,0,0
35,2,0,669156,870000,0,0,0
49,2,0,697764,860268,0,0,0
48,1,0,870000,1022484,3,0,0
26,2,0,728556,863520,0,0,0
48,1,0,734556,871212,0,0,0
46,2,3,317160,747240,0,0,0
33,1,1,722952,1098852,0,0,0
39,1,0,782028,1233252,16,9,0
39,2,1,603636,951156,0,0,0
48,2,0,512712,849432,0,0,0
25,1,0,568188,764148,0,0,0
39,2,0,562188,833976,6,4,0
44,1,0,802584,996000,0,0,0
39,1,0,760164,864000,2,2,0
32,1,0,462492,739416,3,3,0
42,2,0,699372,834228,57,16,0
35,1,0,933012,1169160,0,0,0
25,2,0,606936,819936,3,3,0
33,1,0,608196,751524,5,4,0
36,1,0,795984,906000,4,4,0
41,2,0,942552,1240200,0,0,0
36,2,0,784584,898620,0,0,0
25,1,0,867804,1048800,2,0,0
40,2,0,766956,872328,0,0,0
39,2,1,514728,895464,0,0,0
35,2,0,660000,923220,2,0,0
40,1,0,672156,810000,0,0,0
26,2,0,704604,1189020,0,0,0
37,2,0,663588,847956,0,0,0
31,2,0,712164,817392,9,2,0
40,2,0,707676,876372,2,2,0
44,2,0,444468,613200,0,0,0
39,2,0,467268,836208,0,0,0
47,1,0,808584,992760,0,0,0
42,2,0,731364,857160,6,3,0
32,1,3,512520,774144,3,3,0
29,1,0,650556,849516,3,2,0
38,2,0,618936,714720,0,0,0
44,2,1,596976,712920,5,5,0
46,1,0,600036,899412,4,2,0
36,1,0,461268,748800,4,2,0
36,2,1,535740,691104,0,0,0
41,1,0,877476,1211676,4,2,0
45,2,3,666156,772860,0,0,0
31,2,0,944232,1314000,0,0,0
27,2,0,909012,1269576,0,0,0
28,1,0,617976,855492,0,0,0
34,2,0,382332,536712,4,3,0
44,2,0,675108,928332,0,0,0
32,2,1,621636,806772,0,0,0
34,1,0,687108,959400,0,0,0
41,1,0,626400,784800,0,0,0
30,1,0,708276,869136,5,3,0
41,1,0,264888,475860,0,0,0
38,2,0,699108,1157076,18,6,0
34,1,0,518520,708060,44,14,1
42,1,0,460068,791304,0,0,0
45,2,0,448308,757344,14,7,0
48,1,1,873804,1055580,3,0,0
31,1,0,722556,858888,0,0,0
28,2,0,605232,829440,3,2,0
35,2,0,514728,885024,0,0,0
40,2,1,525888,878952,13,4,0
36,2,0,718380,936048,6,3,0
37,2,1,398208,844416,0,0,0
32,2,0,582096,760320,0,0,0
47,2,0,610836,826872,38,15,0
47,2,0,847476,1089744,0,0,0
43,1,0,449268,592560,0,0,0
27,2,0,798984,1014600,7,5,0
38,1,0,502728,713700,4,4,0
30,2,0,538188,805020,4,4,0
25,2,0,821364,997128,0,0,0
47,2,0,484728,712632,2,2,0
33,1,0,562188,751308,0,0,0
42,1,0,814428,916332,9,0,0
45,2,0,597156,1296132,0,0,0
41,1,0,584988,901536,0,0,0
32,2,0,501960,664776,0,0,0
47,2,0,466728,792300,17,5,0
33,2,0,810984,963348,2,2,0
46,2,0,672156,828216,0,0,0
29,1,0,664308,759600,0,0,0
31,1,0,644436,735960,3,2,0
37,2,0,948312,1256640,9,6,0
30,2,0,722556,848892,5,2,0
35,2,0,751116,854400,0,0,0
27,2,0,713364,828192,0,0,0
43,2,0,615636,902784,0,0,0
26,1,0,720000,939000,0,0,0
28,2,0,515928,723600,0,0,0
36,2,1,624816,875544,0,0,0
24,1,0,570588,789816,3,2,0
34,1,0,676956,844200,0,0,0
38,1,0,732000,952392,0,0,0
49,1,0,648156,811464,0,0,0
35,2,0,807384,917856,29,12,1
25,1,0,564576,728028,0,0,0
40,2,0,574188,926040,0,0,0
38,1,0,616344,775800,3,3,0
24,1,0,577740,977640,0,0,0
30,2,0,755364,960384,0,0,0
45,1,0,585216,706800,6,4,0
25,2,0,637236,735072,0,0,0
32,2,0,714156,820464,0,0,0
35,1,0,702708,888000,5,5,0
40,2,0,657600,816000,3,3,0
29,2,0,294348,753876,0,0,0
43,1,1,515664,816960,0,0,0
36,1,0,814584,1206000,3,2,0
50,2,0,728556,931080,4,2,0
22,1,0,662364,801000,0,0,0
35,2,1,411348,702360,0,0,0
29,1,0,766584,882000,0,0,0
34,2,0,591576,798732,0,0,0
36,2,0,712056,821292,0,0,0
35,2,3,609264,1136328,3,3,0
33,2,0,807228,1056432,2,0,0
38,2,0,707580,850140,0,0,0
29,2,0,541740,664680,0,0,0
35,1,0,652956,802896,0,0,0
37,1,0,645516,787488,4,2,0
27,2,1,861804,1237548,0,0,0
46,2,0,615636,762780,0,0,0
41,1,0,701364,840036,8,7,0
31,1,0,445788,562740,0,0,0
23,1,0,527028,1104300,0,0,0
32,2,0,651108,1163400,3,0,0
36,2,1,556188,710040,8,2,0
41,2,0,562188,782700,2,0,0
24,2,0,657108,769980,3,0,0
26,1,0,1162788,2012016,0,0,0
40,2,0,572988,786000,0,0,0
37,2,0,678684,838308,0,0,0
30,2,0,595716,802200,0,0,0
39,2,1,431268,678960,0,0,0
27,1,0,568188,737100,0,0,0
43,1,0,808584,985632,5,3,0
50,1,0,658908,857076,0,0,0
37,2,0,580188,814008,4,4,0
40,1,0,709908,917040,0,0,0
39,2,1,665112,977280,0,0,0
49,1,0,577788,740400,2,2,0
25,1,0,880476,1309488,0,0,0
39,2,0,773028,941208,3,2,0
27,2,0,613632,745968,0,0,0
36,2,1,807384,977508,0,0,0
45,1,0,627636,869940,0,0,0
27,1,0,737364,894276,0,0,0
42,2,0,484728,748260,0,0,0
38,1,0,582696,777252,2,2,0
31,1,0,643668,876360,4,3,0
32,2,0,720444,858876,0,0,0
29,1,0,439992,996852,2,2,0
30,1,0,624636,919080,0,0,0
26,1,0,688908,848028,2,2,0
25,2,0,879804,1290000,0,0,0
43,2,0,797784,879132,7,3,0
38,2,0,665868,830808,0,0,0
28,2,1,496728,819192,0,0,0
32,2,1,636936,1071840,0,0,0
42,1,0,714156,822120,0,0,0
28,2,3,812184,1256832,0,0,0
26,2,0,512328,821460,8,4,0
43,2,0,562188,765600,6,4,0
25,2,0,970236,1366116,0,0,0
46,1,0,464868,1005192,3,3,0
40,1,0,837804,1034544,10,3,0
31,2,1,794028,1096440,0,0,0
33,1,0,663108,920232,0,0,0
27,1,0,675108,821964,0,0,0
46,1,0,470868,823584,0,0,0
34,2,0,580188,798000,3,2,0
29,2,0,514728,868980,6,3,0
44,1,0,237288,708576,10,7,0
25,2,1,660156,925260,0,0,0
34,1,0,666000,900972,9,4,0
35,1,0,784584,1001400,6,5,0
48,1,0,621336,858300,8,5,0
49,1,0,451668,763176,6,2,0
39,1,0,608436,799932,0,0,0
48,2,0,664308,844488,0,0,0
27,1,0,790824,1120200,0,0,0
38,2,0,651108,784200,9,6,0
33,2,0,609936,721536,3,2,0
37,1,0,1155588,1570200,0,0,0
30,1,0,574188,742608,0,0,0
42,2,0,696156,1086000,4,2,0
34,1,0,481248,833796,0,0,0
25,2,0,673908,806376,0,0,0
44,2,0,586140,792000,3,2,0
37,1,0,723084,1139292,0,0,0
38,2,0,651636,919848,0,0,0
28,2,0,933012,1308756,0,0,0
34,2,0,933012,1200540,0,0,0
50,1,1,637788,822768,0,0,0
28,1,0,1142280,1476000,0,0,0
25,2,0,659424,934044,0,0,0
26,2,0,651156,792396,0,0,0
47,2,0,752556,1132572,4,0,0
40,2,0,702156,803244,5,2,0
35,1,1,849804,1358724,0,0,0
37,1,0,746964,960000,3,2,0
39,2,0,736164,899460,5,2,0
36,2,0,815556,1152000,0,0,0
30,1,0,732156,850548,0,0,0
49,2,0,377808,836484,0,0,0
34,2,1,478728,752244,12,4,0
40,1,0,615636,814896,0,0,0
44,1,0,736764,918600,0,0,0
28,2,1,841476,1160904,12,7,0
38,1,0,687108,1194636,0,0,0
45,2,0,415644,956580,2,0,0
37,1,0,755364,871500,0,0,0
29,1,0,615636,770508,4,3,0
31,1,0,675108,784152,0,0,0
30,2,1,739764,917304,0,0,0
48,1,0,416028,757164,4,3,0
26,1,0,687108,834408,0,0,0
26,1,0,596436,747600,0,0,0
48,1,0,1305504,1680000,13,5,0
39,2,0,588696,799608,0,0,0
34,2,0,699108,1047348,16,7,0
27,1,0,414000,544176,0,0,0
44,2,0,378648,801840,3,0,0
43,2,0,684708,859200,9,5,0
26,1,1,651636,838356,0,0,0
49,2,0,507528,607800,0,0,0
29,1,0,375408,886332,0,0,0
35,2,0,266304,1076808,0,0,0
37,2,0,481128,663480,0,0,0
31,1,0,751776,895200,0,0,0
26,2,0,673908,953208,0,0,0
39,2,0,624936,852456,0,0,0
30,2,0,615624,811320,0,0,0
32,1,0,484728,811392,13,7,0
34,1,0,484728,800100,0,0,0
34,2,0,623856,1228680,0,0,0
47,2,0,597336,821640,6,2,0
36,2,0,778368,1184340,0,0,0
29,1,0,508728,896256,6,3,0
27,2,3,1168680,1920000,0,0,0
34,2,0,770556,1032492,0,0,0
43,2,0,594036,899976,10,8,0
24,1,0,818028,1158660,0,0,0
33,1,0,709908,860076,0,0,0
37,2,0,795228,909240,4,3,0
28,1,0,761364,936000,0,0,0
42,2,1,790584,1142904,0,0,0
48,1,0,591636,746832,0,0,0
43,2,1,786348,970392,0,0,0
38,1,3,966396,1392600,3,3,0
35,2,0,525528,782748,0,0,0
41,2,0,547536,756936,0,0,0
32,2,0,524700,866616,2,2,0
34,2,0,794904,912000,5,3,0
26,2,0,605496,864000,0,0,0
30,1,0,873804,996000,4,2,0
27,1,0,526188,761724,3,3,0
36,1,0,801384,943920,6,2,0
41,1,0,686508,887280,6,2,0
22,1,0,743364,1300608,0,0,0
35,1,0,514728,742332,0,0,0
29,1,0,609636,1006908,3,0,0
34,1,0,764556,891504,0,0,0
26,1,0,889812,1069200,0,0,0
27,2,0,903012,1263336,0,0,0
32,2,0,484728,764400,2,2,0
34,2,0,702108,820800,2,0,0
47,2,0,663108,814092,10,0,0
29,1,0,449268,758328,2,2,0
29,1,0,743364,908856,0,0,0
40,1,0,638976,1115340,5,4,0
46,2,0,794028,945228,2,2,0
44,2,0,883404,998832,3,0,0
29,1,0,785664,1008000,0,0,0
34,2,0,767364,1192800,0,0,0
40,1,0,672156,768000,0,0,0
42,2,0,449268,784236,6,0,0
39,2,0,715764,996456,2,2,0
30,1,0,353172,1068840,0,0,0
38,2,0,687108,789456,0,0,0
31,2,1,737364,890832,2,0,0
27,2,0,981960,2175012,0,0,0
29,2,0,570000,779544,0,0,0
49,2,0,684156,806580,0,0,0
29,1,0,511740,757932,2,0,0
39,2,0,922884,1285872,4,4,0
38,1,0,734556,914208,0,0,0
47,1,0,732156,895476,0,0,0
31,1,0,897012,1257192,0,0,0
26,2,0,538188,671940,0,0,0
31,1,1,687948,886620,2,0,0
26,1,1,1051440,1524240,24,9,0
31,2,0,493128,695184,0,0,0
47,1,0,586224,778920,0,0,0
28,1,3,814812,1237008,0,0,0
44,1,0,639636,864000,7,4,0
36,1,1,820584,965220,0,0,0
30,2,0,696156,792000,2,2,0
42,1,0,755364,861600,9,3,0
42,1,0,710556,1064880,0,0,0
44,1,3,651156,815784,0,0,0
41,2,3,600936,687684,0,0,0
27,1,2,725844,868896,11,8,0
29,1,0,674256,910440,0,0,0
32,1,0,377808,779244,0,0,0
32,2,0,663108,841440,4,3,0
39,2,0,648936,779496,0,0,0
31,2,0,568188,1115472,0,0,0
24,1,0,580188,927288,0,0,0
26,2,0,956232,1320000,0,0,0
29,1,0,705108,1277820,2,2,0
33,2,3,638556,830376,0,0,0
43,1,0,520728,808740,0,0,0
28,1,0,675108,831324,0,0,0
25,1,0,664308,755376,0,0,0
44,1,0,624936,872184,2,2,0
37,2,0,829404,951900,16,4,0
32,1,0,583740,830556,0,0,0
23,1,0,978396,1438908,2,2,0
32,2,3,767364,1074996,0,0,0
39,1,0,792108,902496,3,0,0
38,2,0,755364,900012,0,0,0
33,2,0,618936,883056,0,0,0
