,Unnamed: 0,Monthly_Inhand_Salary ,Accounts of user,Credit cards user have,Interest Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Outstanding_Debt,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Utlization Ratio,Credit Inquiries,Cumulative Balance,Cash Flow,Credit Score
1950,1950,5091.725,5,8,19,7,19,13,22.62,2042.27,218.514888,82.27821156,448.3794004,85,9,4047,2674,Standard
2679,2679,6908.8625,5,5,16,4,22,11,2.16,60.04,166.4117819,187.8700587,586.6044095,97,4,2286,528,Good
6431,6431,1154.38875,1,6,8,1,9,11,3.93,912.94,11.37745622,80.48284194,313.5785768,85,15,2276,2600,Best
3426,3426,6511.01,9,6,27,5,22,17,0.72,2532.0,255.5801522,279.3605777,396.1602701,94,7,2176,1477,Standard
4599,4599,11058.44,3,3,11,3,23,11,13.21,1209.32,282.2845805,186.4224523,877.1369673,71,10,1369,266,Standard
920,920,1588.553333,8,10,28,8,19,16,29.18,4182.21,87.46214102,201.1728577,160.2203346,73,19,4914,1932,Best
7457,7457,835.1770833,7,8,17,7,12,24,28.32,4056.54,34.36879649,75.15464012,253.9942717,74,19,3543,1010,Best
311,311,1683.101667,8,3,6,4,22,20,18.33,1859.45,59.51321413,219.6562015,179.1407511,76,17,2666,3284,Best
3766,3766,2359.359167,677,7,9,1,19,20,7.35,1288.52,22.42331615,97.85231322,365.6602873,98,2,3831,1765,Good
6273,6273,735.6691667,7,4,10,6,7,11,7.44,1494.17,25.46799856,31.89920434,286.1997138,73,14,3205,544,Best
405,405,2258.7175,3,3,15,1,30,8,8.83,180.94,17.97585099,80.76136899,407.13453,76,14,4422,1834,Best
3567,3567,683.2533333,8,8,18,8,47,25,21.54,4290.31,49.24068791,37.98203619,251.1026092,77,16,1740,134,Best
3513,3513,2476.008333,4,5,15,3,10,11,1.63,221.86,62.08092868,29.48445948,396.0354452,86,2,3783,926,Good
7387,7387,1056.8025,8,10,23,8,36,15,17.51,4769.85,47.07388306,134.2442127,214.3621543,70,14,2060,2030,Best
7383,7383,1276.394583,7,3,7,4,16,14,11.51,1152.68,19374.0,43.60224454,338.5241301,70,15,2550,122,Best
2992,2992,2868.609167,1,3,12,3,3,6,2.5,563.28,54.78797362,148.9756911,343.0972519,78,16,2985,256,Best
1494,1494,1893.630833,6,6,19,2,38,16,9.92,2225.18,25.76088134,26.36425191,377.2379501,77,17,2157,2486,Best
3468,3468,943.985,6,6,17,1,13,10,7.89,735.37,5.711416879,80.05423293,298.6328502,94,17,1869,3981,Standard
1927,1927,4265.545,9,5,17,5,17,15,4.61,4381.27,131.1427793,95.97279687,439.4389239,84,8,1277,1736,Standard
3292,3292,2828.394167,2,6,10,1,1,3,7.73,1267.26,24.11185039,350.0453374,198.6822289,87,9,3665,1633,Best
3601,3601,1493.33,3,3,5,3,27,10,13.55,659.6,28.24930672,69.93037172,331.1533216,83,17,2545,1170,Best
1566,1566,2434.233333,5,4,15,6,19,18,19.5,881.36,73.81546182,217.8963319,231.7115396,73,15,3844,4304,Best
1211,1211,3413.375,8,9,17,7,21,19,3.41,2544.85,204.6421112,152.3832634,264.3121254,85,11,2606,2932,Standard
7447,7447,5005.1325,10,8,19,6,33,12,26.44,4896.77,228.8161049,53.21872243,468.4784226,78,13,4473,1151,Best
6613,6613,4054.548333,385,7,9,4,12,23,9.09,1205.13,164.8074702,106.1577143,384.4896488,75,14,4158,4485,Best
1283,1283,592.1791667,6,5,29,3,36,21,3.66,2688.12,9.575854756,19.88840991,299.753652,78,12,2789,2113,Standard
3495,3495,849.9441667,5,7,30,3,28,10,16.57,1766.86,17.49700117,101.2418783,256.2555372,96,8,1072,2930,Standard
4257,4257,1590.147083,0,3,2,4,7,8,10.96,730.84,69.39214699,72.33178081,297.2907805,99,5,3423,4809,Good
1436,1436,3586.23,4,6,12,6,21,13,11.01,24.73,14283.0,268.3678819,226.5307994,70,16,4687,3969,Best
5773,5773,1110.24125,4,4,7,-100,24,17,14.36,940.6,64.35821253,26.26010102,270.4058114,78,17,3564,3532,Best
3064,3064,557.9641667,9,10,24,7,19,20,-1.59,2424.49,27.9808352,44.85607193,272.9595095,98,10,1087,2087,Standard
6842,6842,1922.539167,4,6,15,4,15,15,15.1,937.64,63.24291431,208.0955705,210.9154318,72,19,2736,1642,Best
5372,5372,4669.833333,3,7,6,3,13,0,9.86,776.03,79.12661299,248.4635545,429.3931658,96,19,3153,619,Best
3683,3683,1799.2475,8,3,15,3,14,18,17.52,481.28,48.93924619,46.12284996,334.8626538,70,16,2020,4698,Best
6500,6500,2500.364167,7,7,12,2,12,11,18.35,1154.86,33.14699559,43.55770209,423.331719,90,15,2071,1367,Best
763,763,4356.4875,7,9,30,9,33,26,20.82,3164.78,214.8438774,317.8771055,192.9277671,72,14,1536,854,Best
2810,2810,2878.775833,1,5,6,2,2,0,1.17,82.07,52.23056183,105.8941853,379.7528362,92,2,3263,4033,Good
3653,3653,3837.225,5,4,20,5,14,15,7.23,1676.93,194.8209168,104.159746,354.7418372,92,7,2078,287,Standard
927,927,4900.553333,4,6,6,3,22,19,11.06,1078.02,90.94994557,77.64173629,571.4636515,78,14,3391,887,Best
4881,4881,3558.779167,2,3,3,-100,4,2,1.39,976.17,94.52943747,137.4747697,373.8737095,78,6,4091,2306,Best
5540,5540,1669.735,4,4,17,3,20,13,7.28,1812.93,21.83553826,95.75420898,309.3837528,72,15,1926,3536,Best
6053,6053,4920.44,3,3,19,1,15,10,11.74,977.18,37.94909505,292.4568074,431.6380975,71,16,2587,4625,Best
5608,5608,2257.19,3,5,13,3,14,17,15.41,670.13,57.35981371,189.6360537,268.7231325,74,15,2731,4500,Best
6471,6471,12912.41667,5,1,6,1,8,3,10.46,527.54,73.21934851,225.8193801,1232.202938,75,16,1997,4475,Best
2626,2626,2922.446667,222,5,18,3,29,15,4.38,2336.04,77.42019571,44.12860481,420.6958661,91,7,1190,4549,Standard
5868,5868,881.8658333,4,6,6,4,24,16,6.7,627.2,71352.0,80.75429637,250.4359714,70,16,4025,3019,Best
5160,5160,3276.82,6,4,16,1,12,13,6.07,1429.96,25.77870944,183.844809,408.0584816,78,15,4836,1455,Best
4228,4228,1663.914167,10,6,24,3,38,21,1.33,1689.38,47.7843405,63.6064608,345.0006154,74,17,3797,743,Best
5941,5941,4200.76,5,3,8,2,25,18,9.52,201.05,74.2941716,328.3871362,307.3946922,80,19,4113,2106,Best
3425,3425,6511.01,9,6,27,5,22,17,0.72,2532.0,255.5801522,340.9904726,334.5303752,81,12,4960,2770,Standard
772,772,2637.111667,6,4,17,3,9,13,8.9,96.31,50.71445532,118.1865113,364.8102001,78,14,2359,4722,Best
7418,7418,5886.6875,4,7,9,2,22,13,5.06,243.75,76.87560726,406.2841209,375.5090219,74,15,4215,815,Best
4224,4224,502.3679167,3,4,9,3,27,19,1.96,754.55,12.37567677,18.466518,309.3945969,88,10,1812,1624,Standard
1294,1294,3572.2525,7,5,2729,7,6,12,9.69,2073.54,196.6894916,87.84774567,312.6880128,77,9,4679,337,Standard
1364,1364,3470.9575,4,7,15,2,6,20,18.38,2266.69,47.93668893,154.7406171,434.418444,89,10,1427,4811,Standard
3419,3419,6885.67,4,4,19,3,0,16,17.86,1619.87,131.1403179,391.9671301,445.4595519,78,18,1700,173,Best
5646,5646,2734.456667,1,2,5419,2,10,12,13.3,1313.52,45.05338491,123.2146173,395.1776645,80,15,1420,2500,Best
6624,6624,4976.9675,10,10,30,9,17,16,18.0,3126.29,442.7665564,119.0435585,175.886635,70,16,2848,1087,Best
7172,7172,2540.324167,8,6,18,7,25,12,14.62,628.61,109.8401065,89.63417562,314.5581345,90,15,3515,3447,Best
544,544,4417.745,6,7,26,8,40,2420,0.63,2958.02,257.6594545,183.1824693,290.9325763,90,10,4184,2767,Standard
5450,5450,1940.320833,3,5,5,1,24,17,12.96,1426.3,13.2736255,25.98863398,404.7698238,87,14,3399,2309,Best
4150,4150,3191.181667,5,5,32,7,23,13,10.07,1309.82,127.4156814,56.29845927,375.404026,94,11,2570,4540,Standard
7282,7282,12261.35667,4,3,16,4,30,17,10.61,1133.79,246.2621915,93.2500006,1126.623475,71,14,2712,3272,Best
3557,3557,1048.9875,4,4,13,1,16,10,7.59,1382.26,10.81138964,62.08035249,312.0070079,88,14,1516,4167,Best
4008,4008,6744.845,1,1,6,-100,0,1,8.05,262.72,65.55683764,761.6895458,137.2381165,95,4,3279,3233,Good
57,57,1074.584583,7,5,17,5,43,20,7.97,1672.43,37.58807284,46.81041575,283.0599697,77,18,2018,737,Best
484,484,3059.936667,1,6,8,1,6,7,4.07,1226.23,21.53854806,201.2702606,373.184858,93,16,4985,4196,Best
2118,2118,1499.766667,3,1,4,4,9,12,4.39,1170.52,32.02761974,148.5335149,249.415532,94,1,4410,4702,Good
1703,1703,2282.086667,6,9,23,6,45,23,6.06,1882.15,100.5391541,67.93453714,309.7349755,85,10,4150,2480,Standard
3268,3268,14836.73667,0,5,4,3,30,0,0.35,1104.31,446.2593466,674.3317229,633.0825972,74,12,2374,490,Standard
3310,3310,3957.75,10,10,21,6,39,17,26.98,4082.37,227.4483415,164.8735733,253.4530852,86,19,1744,585,Best
212,212,3282.269196,10,7,30,6,36,17,8.47,2174.16,460.4272666,94.6003948,351.2063921,71,17,1096,2755,Best
6206,6206,1209.934583,4,7,18,4,23,15,9.32,879.98,40.1886273,114.3657896,256.4390414,71,19,1241,4364,Best
2076,2076,3984.961667,1,4,11,2,4,6,3.28,833.1,48.88539432,129.832522,479.7782503,92,2,1385,1543,Good
4594,4594,7590.4375,3,7,15,1,25,12,7.38,1020.05,48.88074476,202.8160422,757.346963,74,19,1365,926,Best
3654,3654,3837.225,5,4,20,5,14,15,7.23,1676.93,194.8209168,203.1648654,265.7367178,71,15,2825,1099,Best
34,34,7266.686667,3,6,1,2,4,2,3.51,950.36,135.173371,279.6186221,561.8766736,95,5,3386,1389,Good
4513,4513,3487.689167,0,1,5,2,11,1,3.19,63.92,58.41158774,313.2232589,257.1340701,93,13,4851,1251,Good
7029,7029,8171.1225,7,7,20,4,26,10,19.38,921.31,230.0957676,267.809093,569.2073893,70,18,1678,725,Best
612,612,555.2058333,9,7,19,7,40,18,15.62,1580.91,27.52869913,19.85194671,298.1399375,73,15,2100,391,Best
5478,5478,3337.803333,1,3,2,-100,7,0,9.29,843.89,55.69076476,148.382437,399.7071316,76,15,3047,4279,Best
6031,6031,3004.053333,5,6,19,2,8,9,11.44,772.61,49.28911859,153.1637168,367.952498,85,14,3621,582,Best
2356,2356,1775.1975,6,10,18,4,22,17,1.66,1401.52,66037.0,169.4423835,242.9328524,89,12,3065,2795,Standard
5965,5965,2685.5475,5,5,6,3,35,12,15.98,1082.25,60.06864329,360.9531837,137.532923,74,14,2447,2982,Best
1179,1179,3068.915,8,6,9,3,12,16,15.52,1270.18,84.75534306,63.42171419,398.7144427,98,3,1800,3749,Good
6635,6635,1579.848333,3,5,7,4,10,20,9.86,72.03,40.76315786,43.58080931,353.6408662,83,12,2507,992,Best
2471,2471,2775.73,9,5,15,9,58,22,2.42,2377.23,228.2386969,36.71725972,252.6170434,86,11,2685,194,Standard
49,49,2898.385,6,7,17,6,10,12,9.22,1283.37,103.0375604,35.79356841,391.0073712,71,18,3099,1301,Best
6693,6693,2847.945,6,5,20,3,21,16,11.35,1215.19,47.47477413,138.970098,358.3496279,78,8,1854,392,Best
1147,1147,2955.613333,8,7,12,3,30,16,1.96,1472.7,73.57946752,255.2415442,236.7403216,77,17,1148,3264,Best
2184,2184,1298.76,8,7,22,4,31,16,19.08,1987.21,41.06589355,46.36948654,332.4406199,75,11,3032,3192,Standard
303,303,4704.92,10,6,23,-100,31,17,10.64,1743.83,171.8230674,139.0744818,409.5944508,81,8,4151,2064,Standard
4660,4660,7554.5775,6,6,16,1,13,11,9.94,635.84,39.06252886,59.82996645,896.5652547,75,15,2919,3500,Best
5875,5875,2171.535833,6,3,8,1,10,18,17.1,135.5,12.80528125,55.99724287,388.3510592,73,17,2117,1251,Best
4280,4280,3573.293333,6,5,31,5,25,16,15.5,2186.2,109.6164901,408.2299093,129.482934,89,13,2631,2888,Standard
3741,3741,2554.8275,4,6,5,1,8,13,-0.01,1202.05,21.44436799,24.87917589,449.1592061,81,19,4926,2516,Best
2025,2025,1408.525833,3,7,14,2,10,8,19.24,1131.45,31.47494934,120.8395512,278.5380828,78,15,3152,4290,Best
4798,4798,1105.65875,0,3,7,3,4,4,8.77,1196.73,21.80270367,100.0253866,268.7377848,71,14,1588,4991,Best
6826,6826,2037.4675,6,5,11,3,7,8,8.1,207.04,46.07909857,37.72434124,359.9433102,78,12,4042,963,Best
3687,3687,769.665,7,6,23,7,17,15,5.11,1881.18,27.28395086,64.27642546,275.4061237,95,0,1320,2656,Standard
4132,4132,6913.963333,10,10,19,6,20,21,14.76,2671.76,361.7776439,324.2944766,265.3242128,89,11,1938,3265,Standard
4706,4706,1406.064167,6,3,8,4,23,16,15.72,179.19,53.45154389,11.56633941,315.5885334,76,19,2085,4614,Best
5343,5343,4861.144816,6,8,21,6,42,19,9.05,2075.58,706.6200899,482.3331631,136.9165974,77,16,1085,2656,Best
7174,7174,1857.361667,3,6,5,2,8,17,17.54,893.13,37.09182446,128.6543086,279.9900336,72,15,1643,1412,Best
5848,5848,4669.552478,6,3,17,5,14,13,12.39,1836.43,78175.0,522.4063827,93.23668828,70,16,2616,3405,Best
4825,4825,3790.395,7,7,8,3,26,17,12.51,444.77,66.53508304,61.68468172,500.8197352,80,19,4773,1352,Best
3942,3942,3554.861667,3,5,11,3,4,1,10.84,133.84,66.86046104,306.0131969,272.6125087,99,4,4671,841,Good
476,476,895.31375,6,3,18,3,2,10,16.39,181.68,26.51527996,62.24967272,260.7664223,78,15,1482,1619,Best
1499,1499,2802.896667,10,7,28,6,30,8,16.29,1691.59,168.3513637,116.5951745,245.3431285,89,7,1360,555,Standard
2652,2652,3937.836667,7,6,7,7,25,6,9.25,1017.45,147.6953289,62.42027921,433.6680585,76,18,1579,4077,Best
4491,4491,7162.856667,7,9,33,5,15,17,4.52,2173.72,176.3191413,166.1308875,633.8356379,92,2,1190,3366,Standard
4598,4598,5608.9425,6,982,12,2,21,10,0.99,9.65,108.4791012,351.7384331,390.6767157,86,9,1204,3139,Standard
1015,1015,1904.28,3,1,5,2,13,2,2.53,1498.02,19.34731148,21.95705958,389.1236289,94,2,3422,2122,Good
693,693,3703.8725,10,6,26,9,38,25,11.95,1275.46,298.8485303,105.8541452,215.6845745,77,18,2630,542,Best
1862,1862,2959.23,2,2,11,3,11,6,7.54,1146.39,74.12073088,76.89021641,414.9120527,73,14,3838,3834,Best
6568,6568,1729.594167,6,7,25,9,53,15,9.8,3213.09,74.22059719,40.60888568,298.1299338,70,18,2844,2929,Best
3203,3203,4561.21,7,10,29,4,40,19,11.64,1796.88,165.3355529,146.1847649,394.6006822,91,1,3789,1783,Standard
1266,1266,2406.465833,1,5,5,4,13,10,4.48,466.13,68.42705999,231.800527,230.4189963,93,3,2041,464,Good
2509,2509,3568.568333,2,5,10,3,0,12,9.33,670.05,97.75807094,182.3779216,336.7208408,92,1,2000,2575,Good
5652,5652,2460.824167,4,6,14,5,6,13,18.02,742.25,84.06232164,104.0583882,317.9617068,91,11,3550,100,Best
5949,5949,1349.118333,10,6,28,5,65,23,19.36,3223.66,33.94741833,106.6316369,274.3327781,73,19,3918,4514,Best
2342,2342,4622.49,9,7,25,6,31,14,26.67,1340.92,216.3454218,59.13666772,426.7669105,77,18,1454,4427,Best
3475,3475,5237.806667,5,4,18,1,17,9,6.3,1010.73,27.46092674,142.8984878,603.4212521,78,14,2793,2008,Best
4003,4003,1647.255786,5,7,29,4,9,19,16.37,1972.22,89.30932683,31.30556947,342.2429843,81,14,3744,3818,Standard
117,117,12432.61,3,4,5,3,10,3,10.2,949.38,364.9151774,264.7984248,853.5473978,94,2,4164,4598,Good
7421,7421,5497.966667,5,4,11,7,26,13,16.56,41.67,369.9293787,389.4975931,80.36969483,74,19,3972,3654,Best
4340,4340,1963.535833,5,2,5,3,14,3,10.58,39.47,30.21422897,70.18140561,365.9579488,75,14,3402,2863,Best
2590,2590,12357.57333,0,6,5,2,14,5,1.97,1294.06,215.1949108,278.372918,982.1895045,70,19,1770,803,Best
2264,2264,6414.085,2,7,10,1,14,5,8.72,585.77,66.05806321,138.599561,676.7508758,97,14,1075,1322,Standard
2619,2619,1646.647917,3,7,5,4,14,8,10.01,841.07,46.33143453,41.8979792,346.4353779,98,0,1587,157,Good
2006,2006,5318.743333,9,9,1908,9,24,22,27.46,3133.49,334.4616622,114.2512888,323.1613823,87,11,3577,1471,Standard
6010,6010,3199.816667,3,4,12,-100,13,8,11.49,1052.87,87.35179471,54.99783346,427.6320385,77,10,3299,4857,Best
373,373,9810.93,8,4,20,4,17,20,12.76,140.26,301.5608682,354.2155581,595.3165737,99,7,4863,4418,Best
1159,1159,863.6175,6,5,16,6,24,16,19.91,45.82,53.76195803,66.49088773,256.1089042,75,13,2180,4074,Best
6153,6153,1085.362297,1,2,3,1,8,6,4.48,411.98,133.5888438,56.49161582,326.8919103,76,17,4363,4364,Best
7057,7057,8704.306667,8,4,13,4,6,20,10.1,225.86,346.143121,473.8186999,330.4688457,79,15,3318,210,Best
5282,5282,3355.395,7,9,32,5,39,19,19.66,4154.32,160.6317757,163.2424725,301.6652518,74,10,2464,458,Best
2635,2635,1817.065833,6,8,18,4,27,9,7.12,1755.06,48.50360251,125.6262884,287.5766924,82,9,3792,4416,Standard
4030,4030,2908.4975,6,3,14,4,9,20,9.71,325.68,108.8103331,112.2555267,359.7838902,91,19,2943,2475,Standard
1933,1933,2588.165,2,5,4,3,11,5,9.11,451.72,66.4004325,198.9976855,273.418382,72,0,2639,1102,Best
3797,3797,5710.231667,1,3,12,2,10,5,11.07,1171.73,68.54205265,483.2339878,309.2471263,96,5,1135,265,Good
2297,2297,1610.9525,10,5,22,4,23,20,7.98,2037.64,46.77407906,202.1735494,202.1476216,97,12,4541,2133,Standard
3096,3096,8475.12,3,3,20,6,14,21,5.93,393.75,75119.0,396.7714294,342.3286327,86,17,1703,4111,Best
1036,1036,2471.638333,4,7,12,6,10,8,9.95,70.82,134.6917202,253.1883183,149.2837948,99,9,1712,2263,Standard
5259,5259,7595.5275,1,8,1,3,9,10,-0.39,362.04,156.9565703,432.3725835,440.2235962,79,19,1183,1758,Best
5804,5804,2612.733333,4,7,18,4,7,17,16.73,930.08,88.99986636,91.07627749,371.1971895,70,16,2535,518,Best
6356,6356,1494.7475,7,5,18,3,15,10,16.95,1366.56,24.62117266,87.40493571,327.4486416,77,18,2566,3551,Best
7144,7144,1897.193333,6,6,13,1,23,7,7.08,160.5,10.09716935,58.38712022,371.2350438,89,14,2953,3915,Best
792,792,1530.285833,8,10,34,6,59,25,24.49,2725.14,82.65421881,126.5518836,233.8224809,97,16,1953,2518,Standard
2597,2597,9818.326667,2,2,1,3,12,1,1.83,776.18,223.0756746,225.6853184,783.0716737,90,4,1761,249,Good
727,727,10006.67,7,3,5721,4,18,13,0.66,54.68,288.6654547,139.3412612,812.6602841,80,19,3443,2663,Best
3820,3820,8524.9925,5,7,3,2,11,5,4.24,1371.02,98.72127874,213.5693144,800.2086568,81,19,1934,4040,Standard
4934,4934,7746.896667,4,7,11,2,25,15,9.85,666.9,118.6941571,673.7524193,272.2430902,82,14,4292,4717,Best
5681,5681,1812.150833,9,8,28,3,58,14,22.27,1576.95,31.70698129,92.56053907,326.947563,70,15,4249,691,Best
2568,2568,5948.16,6,10,32,5,33,17,24.49,3117.01,144.3743612,232.490035,467.9516038,84,8,1655,138,Standard
5453,5453,2637.834167,1,4,3,1,13,0,7.81,1455.62,16.39547854,58.09896484,429.2889733,75,14,3872,2609,Best
6087,6087,4727.263333,6,3,18,4,11,17,18.89,1293.76,129.7066303,106.3746731,486.6450299,72,12,4155,1234,Best
657,657,11903.83,6,4,17,3,21,12,18.1,1037.68,224.1221386,716.3027906,519.9580708,90,17,2034,4047,Best
6809,6809,2457.991667,7,5,15,2,8,19,11.23,1406.91,41.78045006,91.01382389,373.0048927,72,19,3691,4193,Best
1481,1481,1829.29,3,6,3200,1,8,7,8.57,965.09,16.25873023,25.32169151,391.3485783,99,1,4360,1453,Good
2465,2465,3143.049167,6,3,10,3,11,14,8.13,291.46,72.26613726,212.5828547,319.4559247,77,15,4538,2982,Best
70,70,3622.186667,3,3,18,1,8,8,4.97,1233.1,30.57608482,41.33398006,530.3086018,70,17,2111,2754,Best
542,542,6155.64,6,3,9,4,15,3478,13.73,50.22,232.066077,436.6555754,226.8423476,72,17,1635,363,Best
686,686,4950.063333,3,7,12,3,30,11,9.72,463.07,111.7288201,66.53602515,566.7414881,92,11,1918,3124,Standard
570,570,3352.675,6,10,29,6,57,14,9.55,2403.26,174.0872209,183.843608,267.3366712,74,16,4873,177,Best
1126,1126,14346.97,1,7,8,1,9,8,5.68,1355.93,123.4272573,358.9054343,1202.364308,74,19,3578,630,Best
3352,3352,1908.885,8,4,8,3,23,15,6.05,329.82,39.75820611,142.4071291,288.7231648,79,6,2826,4315,Good
2560,2560,2348.9975,5,3,20,4,28,17,16.04,606.78,88.73805411,216.9386399,199.223056,75,15,4480,2263,Best
3403,3403,6088.586667,1,1,10,3,2,6,9.85,498.61,121.9179145,400.1765707,346.7641815,99,4,2803,1224,Good
2271,2271,3048.8,10,6,20,5,36,16,10.79,1644.31,143.8996853,113.1183731,297.8619416,99,18,3533,2911,Standard
6446,6446,2401.809167,1,6,7,3,5,1,9.33,939.54,51.28993104,124.9368785,333.9541071,75,14,4476,4129,Best
3273,3273,636.025,6,8,27,2,18,10,11.58,2085.35,9.718145237,56.1683018,287.716053,97,9,2302,1047,Standard
2792,2792,1843.083333,3,5,20,5,25,20,18.3,2374.04,53.35272172,103.2134303,317.7421813,81,11,2041,233,Standard
1024,1024,1480.585833,7,7,26,9,37,18,9.18,3247.42,93.61720092,95.84028212,248.6011003,88,11,3603,2884,Standard
4422,4422,4800.225,6,7,5,7,30,6,17.86,1742.58,265.4005523,464.2291692,40.39277857,95,7,3148,3271,Standard
2287,2287,1860.495833,7,3,12,1,11,18,7.43,1111.34,12.04184889,28.55216892,385.4555655,78,16,2241,1284,Best
5221,5221,1290.376667,6,8,30,9,22,23,16.99,3831.31,67.73227592,20.89375595,280.4116348,74,16,1488,1267,Best
1107,1107,2559.818333,3,4,11,4,27,16,17.74,1042.61,16842.0,98.73826922,325.127333,70,17,1555,2404,Best
3627,3627,3364.544167,2,2,7,3,6,12,9.0,1431.22,80.59190818,109.008509,416.8539995,86,12,3300,1641,Good
6532,6532,2370.499167,7,4,15,2,23,19,14.95,113.42,32.22601307,68.17732134,386.6465823,74,15,1534,2551,Best
5658,5658,2245.540833,2,4,6,4,11,4,8.41,591.33,90.93073451,273.4708458,150.152503,79,18,1996,209,Best
2681,2681,2537.626667,9,9,16,424,24,24,7.04,1295.13,70.57182301,157.2243306,285.966513,75,16,4343,2698,Best
4242,4242,6114.54,6,3,18,4,7,12,8.25,876.04,205.5930674,117.2342172,538.6267153,99,18,1962,1086,Good
5120,5120,6689.845,3,1,3,1,3,10,11.37,1133.46,34.55106016,432.0003782,492.4330617,86,16,1139,3233,Best
4820,4820,1404.928333,4,6,16,6,29,15,11.4,696.13,75.28872895,93.91527099,261.2888334,86,19,3877,3838,Best
1035,1035,2471.638333,4,7,12,6,6,8,9.95,70.82,134.6917202,107.5636269,294.9084862,88,1,1845,2533,Standard
6193,6193,5549.546667,9,7,30,9,16,18,30.8,3234.47,498.0651868,91.75665141,205.1328285,76,16,1465,266,Best
997,997,1770.043333,5,3,19,5,14,16,16.61,864.7,65.02102612,66.55757765,295.4257296,86,0,2907,4087,Good
5519,5519,1092.3025,7,7,10,2,17,11,26.97,1695.75,15.77701815,82.50648738,300.9467445,80,18,3963,4122,Best
7431,7431,1119.9525,4,3,19,2,7,13,12.21,1271.65,14.30802796,69.84736981,307.8398522,77,7,2446,708,Best
3656,3656,5229.226667,4,7,33,6,28,11,13.2,1675.0,285.4860277,122.8727715,374.5638674,89,10,4569,2981,Standard
1346,1346,819.5158333,672,3,14,2,14,23,9.33,847.88,10.05059807,59.13101203,282.7699732,75,16,1353,4457,Best
4075,4075,2130.874167,5,2,7,3,8,-1,4.86,947.41,39.91728359,120.4288012,312.7413319,95,3,1459,1030,Good
4829,4829,1276.394583,7,3,7,4,11,14,16.51,1152.68,35.51308374,76.85525567,305.2711189,72,11,4805,252,Best
5179,5179,1206.409167,6,5,13,4,8,19,16.22,854.43,37.17645496,14.64827818,318.8161835,88,17,3665,4613,Best
6795,6795,2060.513333,3,3,17,1,10,22,15.62,13.72,17.04031521,136.8709835,322.1400346,75,14,2612,4836,Best
3206,3206,4561.21,7,10,29,4,40,22,11.64,1796.88,165.3355529,140.4871742,400.2982729,89,12,1345,1503,Standard
2014,2014,944.53125,9,5,25,9,44,20,5.8,1853.17,44.00521092,41.46330379,288.9846103,82,8,4402,4671,Standard
5562,5562,1291.729167,9,5,16,6,27,19,18.62,3088.8,43.5780958,71.74512858,303.8496923,73,16,2138,3849,Best
2437,2437,863.1691667,8,10,27,2,57,24,1.19,2495.15,13.21855911,42.28488068,320.8134769,95,19,4883,2434,Standard
889,889,1463.093138,9,6,34,5,49,9,13.87,1306.08,238.490291,103.2071557,278.4495815,73,14,2413,4804,Best
7392,7392,5229.463333,6,3,6,3,17,20,11.99,55.92,116.2451806,100.6961224,556.0050304,73,19,3360,2433,Best
6215,6215,2088.273333,5,5,9,4,8,19,15.84,1227.75,78.58482781,236.5058353,183.7366702,77,8,1669,1989,Best
7479,7479,10145.41667,2,7,8,4,6,6,1.38,561.42,336.2243515,187.0091831,731.3081321,72,19,4388,3657,Best
2881,2881,14373.13333,3,6,6,1,1,5,8.04,242.61,102.4614238,915.8465135,689.005396,81,16,1798,1966,Best
3521,3521,6540.546667,0,4,6,1,3,0,8.43,328.44,60.77173437,156.5665694,676.7163629,95,3,1726,2668,Good
5396,5396,1782.96375,1,3,6,3,10,9,3.0,1408.66,35.57630964,125.9048595,286.8152059,73,3,2712,1583,Best
4164,4164,8996.67,5,5,13,2,9,13,11.09,224.7,103.0585668,554.4747864,512.1336468,79,18,4732,431,Best
440,440,5379.896667,0,6,1,2,29,11,7.06,276.91,80.10017431,136.5930026,581.2964897,93,8,4797,3762,Standard
4562,4562,1347.21,6,6,28,8,60,16,19.86,4789.5,73.34767036,174.8165691,176.5567606,75,14,1863,464,Best
1774,1774,10205.19,2,3,3,1,9,4,4.88,924.1,101.5679765,475.8494,703.1016234,92,5,2140,3139,Good
6427,6427,2872.8025,5,4,19,-100,28,12,7.05,1456.01,96.66168931,35.47265329,405.1459074,77,17,4408,3016,Best
2469,2469,3888.0925,8,8,34,4,10,12,19.08,2623.14,82.03861836,121.4919015,455.2787301,97,12,1601,856,Standard
5893,5893,3210.093333,1,6,1,4,11,3,5.57,537.81,110.3311455,87.62618397,373.0520039,89,19,3706,1645,Best
3901,3901,1341.86375,5,1,2,-100,5,3,4.61,385.34,9.986938808,54.75457101,329.4448652,77,1,2187,2613,Good
3629,3629,5881.293333,6,7,21,5,43,25,2.61,1803.68,287.6237921,496.3039204,84.20162091,92,7,3652,3488,Standard
1314,1314,1800.87,6,7,21,9,51,18,0.98,2404.87,124.2176483,68.27475808,237.5945936,85,11,2476,3156,Standard
1557,1557,791.4475,8,6,15,2,7,8,19.31,1306.09,14.15012457,105.7136556,249.2809699,85,10,4983,2239,Standard
308,308,2430.718333,6,6,7,2,19,8,9.33,687.87,42.97244102,97.5118362,352.5875561,98,18,4776,2454,Standard
