Property_Type,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Water_Supply,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,aqi_range
1,2248,5,1,2,1,1,1,5.59,1,1,92,2.92,1
0,888,2,3,1,0,1,3,5.61,2,1,102,3.54,2
3,2457,7,6,0,0,0,1,7.22,0,1,93,4.16,1
4,216,2,1,1,0,1,3,6.05,1,1,134,4.12,2
1,2090,2,4,1,0,0,1,6.93,0,1,96,4.16,1
4,294,1,2,0,2,0,3,8.58,2,2,144,2.15,2
2,659,6,1,1,0,0,3,6.03,0,1,121,4.76,2
0,828,4,3,2,0,0,3,7.03,1,1,116,4.14,2
4,405,3,2,1,0,1,2,7.49,0,1,170,4.38,3
3,3676,14,3,1,0,1,2,4.41,2,1,104,3.23,2
3,3477,9,5,2,0,0,3,5.7,0,1,117,4.77,2
1,1975,4,3,1,0,0,2,6.79,0,1,108,4.46,2
1,1962,3,4,2,0,0,3,5.61,1,1,94,4.17,1
2,661,6,1,2,1,1,1,5.65,2,1,83,2.3,1
3,2953,10,6,2,3,0,0,4.18,1,1,97,1.35,1
1,1710,3,4,1,1,0,2,6.54,0,1,166,3.76,3
0,670,4,3,0,0,1,0,7.48,3,1,152,1.89,3
0,770,2,2,2,0,0,3,6.09,0,1,867,4.74,5
1,2219,2,4,2,2,0,2,5.89,2,1,82,1.99,1
1,1875,3,2,0,0,0,2,6.92,0,1,125,4.44,2
0,135,3,2,1,0,1,1,6.2,0,1,114,4.14,2
0,936,1,1,1,0,0,1,5.28,0,1,80,2.94,1
0,749,3,2,2,0,0,1,6.75,0,1,83,4.18,1
1,2079,3,4,1,0,0,3,6.53,0,1,147,4.73,2
3,3629,15,6,2,0,0,1,6.84,0,1,159,4.08,3
1,1276,3,4,2,0,0,1,6.97,0,1,136,4.11,2
1,2234,5,3,1,0,0,2,5.13,2,1,112,2.58,2
0,611,4,2,1,0,1,2,6.09,3,1,132,2.55,2
1,1253,4,4,1,1,0,3,5.01,1,1,118,3.52,2
0,906,2,1,0,0,0,3,6.63,0,1,89,4.8,1
2,771,6,3,0,0,0,2,6.65,1,0,155,3.84,3
0,509,2,3,2,1,0,3,5.87,0,1,85,4.18,1
3,3450,12,5,1,0,0,3,7.16,3,1,159,2.83,3
3,3917,6,5,1,0,1,3,6.15,0,1,113,4.77,2
1,2083,2,2,2,0,1,2,6.57,0,1,169,4.39,3
3,3862,9,4,1,0,1,1,4.56,2,1,98,2.92,1
1,1108,4,4,1,0,0,2,4.53,1,1,105,3.85,2
1,1925,3,2,1,0,0,3,7.39,0,1,149,4.72,2
2,459,7,2,2,0,1,3,7.38,1,1,114,4.14,2
1,1680,4,4,2,1,1,1,7.45,0,1,96,3.53,1
4,395,1,2,2,1,0,3,6.63,2,1,133,2.86,2
3,2715,9,2,0,0,0,2,7.4,2,1,126,3.18,2
3,1978,15,4,1,1,-1,3,6.02,0,1,148,4.1,2
0,703,3,3,1,1,0,1,7.01,0,1,127,3.49,2
1,1753,3,1,0,0,0,3,5.5,1,1,115,4.15,2
4,317,0,2,1,0,0,1,4.76,2,1,91,2.93,1
1,1881,3,1,1,2,0,2,7.1,2,1,85,1.98,1
0,689,4,2,0,0,0,3,7.02,3,1,117,2.25,2
1,1133,5,4,1,3,1,1,7.65,0,1,137,2.22,2
2,1031,4,1,1,0,0,1,7.07,0,1,139,4.11,2
4,229,2,1,2,0,1,2,3.85,3,0,70,2.71,1
1,1596,5,3,1,0,0,3,7.35,0,0,81,4.87,1
0,908,3,1,1,0,1,3,5.37,2,1,81,3.56,1
0,573,2,3,0,0,0,2,5.74,0,1,118,4.46,2
4,391,0,1,2,0,0,3,7.95,0,1,169,4.69,3
0,855,2,3,2,0,0,2,6.43,0,1,141,4.42,2
2,613,6,2,0,0,0,2,7.44,0,1,167,4.38,3
5,211,1,2,1,0,1,1,7.55,0,1,124,4.12,2
0,611,2,1,1,0,0,2,6.62,0,0,96,4.48,1
3,3496,14,3,1,0,1,2,5.66,1,1,85,2.61,1
1,1460,2,1,1,1,1,3,6.35,0,1,113,4.14,2
2,541,5,2,2,1,0,3,5.55,1,1,103,3.53,2
0,730,1,2,1,3,0,2,6.93,0,1,119,2.56,2
0,804,1,1,1,0,0,-1,4.49,0,1,95,4.49,1
0,303,2,2,1,0,0,2,7.26,1,1,86,3.86,1
2,518,4,2,2,0,1,3,6.85,0,0,81,4.87,1
1,2217,5,2,1,0,0,3,7.44,0,1,129,4.74,2
0,936,4,1,1,1,0,3,6.23,0,1,139,4.11,2
1,1540,3,4,1,0,0,3,6.07,2,1,160,3.46,3
1,1352,2,3,1,1,1,1,8.39,3,2,134,1.53,2
0,782,1,2,1,0,0,3,7.18,1,1,146,4.1,2
2,932,6,1,2,2,0,2,4.11,2,1,80,2.0,1
3,3176,14,6,2,0,0,3,5.28,1,1,94,4.17,1
2,656,5,2,1,0,0,2,8.16,0,1,144,4.34,2
1,1359,5,3,0,0,0,2,6.57,0,1,137,4.43,2
0,753,4,3,1,0,1,2,5.45,1,1,82,3.87,1
1,1113,4,4,0,1,0,2,4.77,1,1,101,3.23,2
1,1459,5,3,0,1,0,3,6.72,3,1,146,2.22,2
0,311,2,1,1,1,0,2,5.67,0,1,109,3.84,2
1,1586,5,2,1,0,0,2,4.43,1,0,98,3.92,1
3,2636,13,2,1,0,0,1,7.96,0,1,128,4.12,2
0,592,4,2,0,0,0,2,6.17,2,1,161,3.14,3
2,869,6,1,1,0,0,3,6.24,3,1,115,2.89,2
0,744,3,3,1,1,0,1,6.73,0,1,95,3.54,1
1,1155,3,4,1,0,0,3,6.9,0,1,109,4.77,2
2,1251,5,1,2,1,0,0,7.1,0,1,106,3.21,2
1,1859,2,4,0,0,0,1,5.4,2,1,97,2.92,1
4,487,1,1,1,0,0,3,6.78,0,1,142,4.73,2
2,1076,4,2,1,0,1,2,7.69,0,0,159,4.45,3
3,3170,5,6,1,0,0,1,7.41,1,1,100,3.53,1
3,3542,7,2,1,0,0,2,6.77,0,1,88,4.49,1
2,555,7,3,0,2,0,1,8.01,0,0,140,2.91,2
1,1481,4,3,0,3,1,1,7.88,0,1,157,2.2,3
0,427,1,3,1,1,1,2,6.31,0,2,86,3.8,1
4,211,3,2,0,0,0,2,6.1,0,0,83,4.56,1
3,3682,13,4,1,1,0,1,6.21,0,1,138,3.49,2
2,467,5,3,1,1,0,0,6.6,0,1,85,3.24,1
2,695,5,2,1,0,0,1,3.51,3,0,78,2.39,1
0,573,1,3,0,0,0,3,8.74,1,2,139,4.03,2
2,400,6,3,1,0,0,2,6.18,0,1,121,4.45,2
0,498,1,3,1,0,0,0,5.27,2,1,83,2.62,1
0,812,3,3,1,0,0,3,6.29,1,1,154,4.09,3
0,339,4,1,1,1,0,3,5.84,2,1,81,2.93,1
1,1396,5,3,1,0,0,1,7.05,0,2,84,4.11,1
1,10419,4,1,1,0,0,1,5.06,1,1,87,3.56,1
3,3751,10,3,1,1,1,3,5.51,1,1,116,3.52,2
1,2012,5,4,2,0,1,1,5.17,0,1,84,4.19,1
1,2264,2,1,1,2,0,2,4.79,1,1,106,2.59,2
1,1134,5,2,0,0,0,3,5.54,1,1,111,4.15,2
1,2286,4,4,2,2,0,3,5.71,2,1,97,2.29,1
2,1260,5,2,1,1,1,2,6.17,3,1,129,1.93,2
0,681,2,2,0,1,0,3,6.81,0,1,80,4.18,1
1,1784,3,3,1,1,0,3,6.8,0,1,81,4.18,1
2,792,5,1,0,0,0,3,6.56,0,1,167,4.7,3
1,1899,4,1,2,0,0,-1,5.8,1,1,94,4.17,1
1,1144,3,1,0,0,0,2,4.71,2,1,98,3.23,1
0,978,3,1,0,1,1,3,6.55,0,1,163,4.08,3
0,923,3,1,1,1,0,1,5.03,0,1,100,3.54,1
0,781,1,2,1,0,0,3,6.99,0,1,89,4.8,1
0,248,3,3,1,0,-1,3,6.94,0,1,89,4.8,1
4,434,0,2,2,2,0,3,7.97,0,1,105,3.52,2
1,1358,4,3,2,1,0,3,6.92,2,1,154,2.83,3
3,2695,8,6,2,0,1,1,7.7,1,1,168,3.44,3
3,3395,4,5,1,0,0,3,6.37,0,1,83,4.81,1
3,2924,12,2,1,0,0,3,6.23,0,1,148,4.73,2
2,636,7,1,0,0,0,3,6.17,2,1,112,3.52,2
1,1713,4,3,1,0,0,1,7.63,2,1,102,2.89,2
0,365,3,1,1,0,0,3,5.67,0,1,107,4.78,2
3,4113,4,5,1,1,0,3,5.82,2,0,80,2.93,1
1,1835,2,4,1,0,0,0,5.91,1,1,119,3.2,2
1,1568,5,1,1,0,0,3,6.24,1,1,94,4.17,1
0,131,2,2,1,1,0,2,6.3,0,1,151,3.78,3
1,1818,4,4,0,0,0,0,7.95,0,1,111,3.82,2
0,557,1,3,0,2,0,3,6.39,0,1,158,3.46,3
2,799,5,1,0,0,0,3,7.55,0,1,103,2.89,2
2,996,4,2,0,1,0,1,6.49,0,1,155,3.46,3
2,531,5,1,0,1,0,3,7.29,0,1,132,4.11,2
0,181,1,3,0,0,0,2,7.42,0,1,89,4.48,1
0,322,4,1,1,0,0,2,4.52,1,1,109,3.85,2
4,410,0,1,1,0,0,3,5.56,1,1,92,4.18,1
3,3204,11,6,1,1,0,2,5.21,1,1,85,3.25,1
1,1237,4,1,2,0,1,3,7.06,0,1,147,4.72,2
1,2064,4,4,0,0,0,0,6.51,0,1,137,3.8,2
2,548,4,2,1,1,0,0,5.71,2,1,97,1.97,1
0,870,4,3,1,1,1,3,6.55,2,1,134,2.86,2
1,1982,4,1,0,0,0,2,6.94,3,1,120,2.56,2
0,990,4,2,2,1,0,1,6.3,0,1,123,3.5,2
2,1139,4,2,2,0,0,3,6.54,0,1,146,4.73,2
1,1725,2,2,2,1,0,3,6.67,0,1,121,4.13,2
2,1139,5,3,0,1,0,2,6.83,2,1,130,2.55,2
2,1147,7,2,1,0,0,2,8.02,0,2,171,4.31,3
0,677,3,2,1,0,0,3,5.44,2,1,89,3.55,1
0,934,2,1,1,0,0,2,6.49,2,1,159,3.14,3
1,2185,4,3,2,0,0,2,4.25,1,1,116,3.21,2
2,955,4,2,0,3,0,3,6.31,0,1,105,2.27,2
1,1922,5,2,2,1,0,2,6.99,1,1,151,3.15,3
1,1960,3,1,2,0,0,2,7.02,0,1,150,4.41,2
0,818,2,2,0,1,0,2,7.33,0,1,515,3.78,5
4,227,1,2,1,1,0,0,8.41,0,2,182,3.04,3
0,351,4,3,1,0,0,2,6.41,1,1,106,3.84,2
2,453,7,1,0,1,0,3,5.96,0,1,116,4.14,2
0,375,1,1,1,1,0,2,5.65,2,1,120,2.57,2
0,997,3,1,0,0,0,3,7.58,2,1,153,3.46,3
1,1414,5,1,1,0,0,3,7.44,0,1,81,4.81,1
1,1264,3,1,1,0,0,1,1.88,0,0,33,4.34,0
1,1682,3,2,0,0,0,3,6.84,0,1,124,4.75,2
0,8818,2,3,1,0,0,3,7.02,0,1,104,4.78,2
0,255,2,2,0,2,0,1,7.35,0,1,122,2.87,2
2,948,7,3,2,1,0,3,6.89,0,1,122,4.13,2
0,258,3,1,1,2,0,3,8.29,0,2,179,3.36,3
0,904,4,2,1,0,0,3,2.91,0,0,61,4.92,1
1,1874,5,3,0,0,0,0,6.61,3,2,156,1.89,3
1,2029,4,4,0,0,0,3,7.03,0,1,131,4.74,2
0,755,2,2,1,0,0,2,3.13,1,0,37,4.01,0
3,4194,7,5,2,0,0,1,6.71,1,1,83,3.55,1
2,591,4,2,1,0,0,3,7.99,0,0,121,4.81,2
1,1368,5,3,0,0,0,3,7.44,2,1,161,3.45,3
2,1023,4,1,1,3,1,3,7.01,1,1,110,2.26,2
3,3005,9,3,2,0,0,3,5.95,2,1,94,3.54,1
0,298,2,2,1,0,0,0,5.65,1,0,97,3.29,1
0,865,3,1,1,0,0,1,6.26,0,1,155,4.09,3
2,781,7,1,1,0,1,2,8.06,1,2,154,3.71,3
0,378,3,1,1,0,0,1,6.63,1,1,120,3.51,2
2,401,6,2,1,0,0,1,7.42,0,1,89,4.17,1
2,457,6,1,2,1,1,2,7.03,1,1,88,3.23,1
1,2180,5,4,1,0,0,3,7.33,3,1,90,2.91,1
2,958,5,1,1,1,1,3,6.55,0,1,91,4.17,1
1,1836,2,4,1,0,0,1,5.37,1,0,104,3.6,2
0,648,2,2,2,3,0,2,5.56,1,1,97,1.97,1
2,550,4,3,1,2,0,3,5.5,1,1,112,2.9,2
0,13774,1,3,1,0,0,3,5.47,0,1,112,4.78,2
2,713,5,1,1,1,0,3,6.06,0,1,132,4.12,2
2,444,6,2,1,1,1,3,6.83,3,1,113,2.26,2
0,996,4,1,2,0,-1,1,6.74,0,1,126,4.13,2
3,2137,9,5,1,0,1,1,7.3,1,1,110,3.51,2
4,317,0,2,2,2,0,2,5.41,1,1,98,2.6,1
0,692,2,3,1,0,1,1,6.22,0,1,98,4.16,1
2,987,6,1,2,2,0,1,7.35,0,1,106,2.89,2
0,720,1,2,0,0,0,0,7.02,0,1,151,3.78,3
2,411,5,1,2,2,1,3,6.73,0,2,154,3.46,3
2,1038,4,1,1,0,1,2,6.83,0,1,121,4.44,2
1,1843,4,2,1,1,1,3,6.11,2,2,155,2.84,3
1,2112,2,3,0,0,0,3,6.15,0,1,86,4.81,1
0,447,1,1,1,0,0,3,7.21,0,0,117,4.82,2
3,2090,9,4,1,0,0,1,7.43,0,1,113,4.14,2
0,282,3,1,2,2,1,3,6.29,1,1,141,2.85,2
0,361,4,3,1,0,0,3,4.87,1,0,107,4.22,2
3,2001,8,2,2,1,0,2,5.75,2,1,91,2.61,1
4,460,2,2,1,1,0,3,6.8,0,1,101,4.16,2
3,2870,13,3,0,0,0,2,8.69,2,2,153,3.08,3
0,736,3,2,1,0,0,1,6.01,0,1,162,3.46,3
1,1776,3,4,1,0,0,2,5.93,1,1,116,3.83,2
1,1816,3,3,2,1,0,2,7.24,0,1,110,3.83,2
0,530,1,3,2,1,0,1,6.75,0,1,119,3.51,2
1,1965,4,3,2,1,1,3,7.34,0,1,92,4.16,1
2,768,6,3,0,0,0,2,5.94,1,1,90,3.86,1
1,2146,4,4,2,0,1,3,5.55,2,2,82,3.5,1
3,2891,5,3,1,0,1,2,6.13,0,1,142,4.42,2
0,237,1,1,1,1,1,3,3.1,1,0,6,3.73,0
4,380,0,1,2,0,1,1,6.81,0,1,98,4.16,1
0,376,4,1,0,0,1,2,4.24,0,1,117,4.47,2
0,899,2,1,1,1,0,1,6.54,0,1,102,3.53,2
0,630,3,3,2,0,0,3,7.58,0,1,144,4.73,2
2,439,7,3,1,0,1,3,6.86,0,1,87,4.8,1
0,443,2,2,2,0,0,2,6.97,0,1,145,4.41,2
0,414,2,2,1,0,1,2,5.32,1,1,116,3.83,2
2,492,4,2,1,0,0,-1,6.65,0,1,91,4.17,1
0,895,4,1,1,0,0,3,7.6,0,1,80,4.81,1
0,836,4,3,1,0,-1,2,4.94,1,1,117,3.83,2
3,2897,9,5,0,0,0,3,6.71,0,1,142,4.73,2
1,1691,3,4,0,0,0,3,7.69,0,1,107,4.77,2
1,1934,3,4,1,1,1,2,6.42,0,1,150,3.78,2
0,914,2,3,1,0,0,1,6.7,0,1,156,4.09,3
3,1831,9,3,2,0,0,1,7.78,3,1,133,2.23,2
0,627,2,3,0,0,0,3,6.42,1,1,91,4.17,1
0,245,4,3,1,1,0,3,6.88,0,1,151,4.09,3
1,1142,3,4,2,0,0,3,8.02,2,1,139,3.47,2
1,2127,5,3,2,1,0,3,5.65,1,1,103,3.53,2
2,874,6,1,1,0,0,3,7.62,0,1,105,4.77,2
2,1213,6,2,1,1,0,2,6.75,0,1,130,3.81,2
1,2116,2,3,1,1,0,3,5.83,0,1,92,4.17,1
4,312,0,2,1,0,0,3,5.96,1,1,100,4.16,1
4,279,3,2,0,0,0,3,3.39,2,0,68,3.65,1
1,1576,3,2,1,0,0,3,7.29,2,1,85,3.55,1
0,116,1,3,2,0,0,1,5.0,2,1,103,2.91,2
4,314,3,2,0,0,0,2,6.11,2,1,82,3.24,1
0,190,1,3,1,0,1,2,6.37,0,1,145,4.42,2
0,953,1,2,0,0,1,0,6.27,0,1,95,3.85,1
0,754,4,2,1,0,0,3,7.47,1,1,161,4.08,3
1,1561,3,3,1,0,0,0,5.38,0,1,117,3.83,2
2,558,5,1,1,0,0,3,4.99,2,1,92,3.55,1
1,1163,5,2,2,0,0,2,7.47,1,1,81,3.86,1
3,2914,7,4,2,0,1,3,7.26,0,1,139,4.73,2
0,784,1,1,1,0,0,2,6.23,1,1,158,3.77,3
2,979,7,2,0,0,1,2,6.78,1,1,126,3.18,2
0,393,3,1,2,0,0,2,6.31,0,1,133,4.43,2
4,214,0,2,0,0,0,3,4.62,1,1,103,4.17,2
0,932,1,3,0,1,1,2,3.9,0,0,88,3.94,1
1,1121,2,4,1,0,0,3,7.21,1,1,159,4.08,3
1,1768,5,2,1,0,0,3,7.83,0,1,123,4.75,2
1,1569,2,3,0,0,0,2,6.69,0,2,110,4.4,2
0,185,2,2,2,2,0,2,5.72,0,1,82,3.25,1
4,489,1,2,0,0,0,1,4.16,1,1,117,3.53,2
3,3019,14,5,1,1,0,2,4.49,2,1,113,2.59,2
3,2676,11,5,0,0,0,3,5.39,1,1,110,4.15,2
0,928,4,2,0,0,0,3,6.21,3,1,166,2.82,3
3,3837,10,2,1,0,0,2,7.22,2,1,167,3.13,3
1,2038,2,4,1,0,0,3,6.23,1,1,93,4.17,1
1,2257,4,2,1,0,0,2,6.21,2,1,142,3.17,2
0,475,2,3,1,0,0,3,4.77,1,1,115,4.15,2
0,861,3,2,2,0,0,0,6.08,2,1,139,2.54,2
0,445,3,3,1,0,0,2,6.12,0,1,155,4.41,3
0,908,2,3,1,0,0,2,5.89,0,1,93,4.49,1
2,480,5,3,1,0,0,2,5.64,0,2,106,4.41,2
0,23343,3,3,1,0,0,2,6.06,0,1,113,4.46,2
1,1207,3,4,1,0,1,3,8.25,2,2,137,3.41,2
0,582,1,3,1,0,0,3,6.5,1,1,102,4.16,2
0,742,3,1,2,0,0,3,4.25,0,1,96,4.81,1
1,1323,2,3,0,0,0,2,6.68,3,1,167,2.51,3
0,502,3,3,0,0,0,3,6.23,1,0,95,4.17,1
1,1574,2,3,1,0,0,3,6.99,2,1,170,3.44,3
1,1817,5,2,1,2,0,2,4.38,1,1,94,2.61,1
1,1739,5,1,1,1,1,3,5.35,0,1,85,4.19,1
0,226,3,2,0,0,0,2,7.13,0,1,85,4.49,1
2,431,6,1,1,0,0,1,5.91,2,1,89,2.92,1
3,4096,14,5,1,0,0,3,6.25,0,1,108,4.78,2
1,1476,5,4,2,0,0,3,2.92,0,0,9,4.99,0
1,1777,3,3,1,0,0,3,6.84,2,1,81,3.55,1
0,933,2,1,0,0,0,3,4.9,0,1,87,4.81,1
4,392,3,2,1,0,1,3,7.13,0,1,132,4.74,2
0,833,4,2,2,1,-1,3,4.27,1,1,110,3.53,2
0,236,3,2,1,0,0,2,6.66,0,0,114,4.52,2
1,1637,4,3,1,0,1,3,7.18,0,1,166,4.7,3
0,504,1,1,0,3,0,1,6.25,0,1,156,2.21,3
0,478,3,1,0,0,0,3,5.62,1,1,119,4.14,2
0,726,2,1,0,0,0,2,8.06,0,2,168,4.32,3
0,349,1,1,0,0,0,1,5.41,1,0,114,3.58,2
1,1827,5,3,1,1,0,3,4.26,1,1,90,3.56,1
1,1966,4,4,1,0,0,0,8.08,3,2,173,1.8,3
0,403,4,3,2,0,0,2,7.89,2,1,136,3.16,2
1,1947,5,1,1,3,0,3,6.59,0,1,128,2.87,2
1,1203,4,2,1,0,0,1,4.78,0,1,92,4.18,1
0,826,3,3,0,1,0,3,5.15,2,1,112,2.9,2
0,230,2,1,2,0,0,3,5.45,2,1,112,3.52,2
1,1504,4,3,1,0,1,0,5.7,0,1,101,3.85,2
2,696,4,1,2,0,0,3,5.61,1,1,91,4.18,1
0,871,2,2,1,0,0,3,6.42,0,1,132,4.75,2
0,580,1,3,0,0,0,2,6.63,0,1,136,4.43,2
4,409,3,2,1,2,1,2,6.5,0,1,115,3.2,2
4,253,3,1,1,0,1,1,6.1,0,1,128,4.13,2
1,1363,4,2,1,0,0,1,7.58,0,1,165,4.07,3
0,720,3,1,0,0,0,2,7.35,0,1,143,4.41,2
1,1947,2,3,1,0,0,1,8.15,0,2,144,4.03,2
4,417,0,1,2,0,0,1,7.7,0,1,121,4.13,2
0,481,3,2,2,2,1,2,5.14,1,1,86,2.62,1
0,168,2,2,0,1,0,3,8.32,1,2,184,3.35,3
0,213,3,3,1,0,1,3,4.72,2,1,111,3.53,2
0,330,2,1,1,1,0,3,5.62,2,1,112,2.89,2
0,676,4,2,2,0,0,2,6.1,0,1,160,3.77,3
0,647,2,3,0,0,0,3,7.38,0,1,161,4.71,3
0,242,1,3,0,0,1,2,6.65,3,1,156,2.52,3
0,439,4,2,1,0,1,1,7.14,0,1,123,4.13,2
4,454,1,2,0,0,0,1,3.72,0,0,99,4.24,1
3,3954,9,5,0,0,1,3,5.78,2,1,113,3.52,2
4,448,3,1,1,0,0,3,5.22,2,1,93,3.55,1
4,430,3,1,1,0,0,2,4.55,1,1,104,3.85,2
2,573,6,2,1,0,0,2,6.34,0,1,114,4.46,2
5,1810,4,2,1,0,0,3,6.71,1,1,164,4.08,3
1,1565,4,1,1,0,0,1,6.25,2,1,22,2.85,0
0,905,1,1,1,0,0,3,6.06,0,1,124,4.76,2
1,1161,5,2,1,0,0,1,3.9,0,0,92,4.25,1
1,1247,4,2,1,0,0,3,7.47,0,1,94,4.79,1
1,1359,5,2,2,0,0,3,6.33,0,1,144,4.73,2
2,1299,7,1,0,0,0,2,6.54,2,1,132,3.18,2
2,411,4,2,0,1,1,3,7.23,0,1,97,4.16,1
2,468,5,1,1,0,0,3,7.05,3,1,139,2.85,2
0,698,2,1,0,0,0,3,6.99,0,1,140,4.73,2
1,1221,5,4,0,0,1,1,7.33,0,1,136,4.11,2
1,1638,4,1,1,0,0,3,7.13,0,1,155,4.71,3
5,933,3,3,2,0,0,3,6.84,0,1,165,4.7,3
1,1563,5,2,1,0,1,3,7.43,0,2,164,4.7,3
1,2129,4,4,2,0,0,1,3.09,2,0,256,3.03,4
2,692,7,2,1,3,0,3,6.02,0,1,146,2.85,2
0,639,4,2,1,1,0,3,4.94,0,1,108,4.16,2
4,208,2,1,2,0,0,3,7.45,2,1,83,3.55,1
3,2144,14,6,1,0,0,3,7.95,0,1,160,4.7,3
0,117,4,3,0,0,0,2,7.21,3,1,919,2.58,5
5,1351,4,3,0,1,0,1,8.02,1,2,165,2.75,3
1,6288,4,4,1,1,0,3,6.12,0,1,152,4.1,3
2,1114,5,1,2,1,1,0,5.8,1,1,119,2.57,2
0,467,4,2,1,0,0,3,7.17,0,0,90,4.8,1
3,3872,12,6,1,1,1,1,5.95,0,1,117,3.51,2
0,757,2,3,0,1,0,3,7.14,0,1,100,4.16,1
0,895,1,3,0,0,0,1,4.25,1,1,87,3.56,1
1,1654,5,4,1,0,0,3,6.34,2,1,159,3.46,3
0,850,3,1,1,0,0,3,5.47,1,1,120,4.14,2
2,1124,5,2,0,0,1,1,7.1,3,1,83,2.29,1
1,1996,4,4,1,3,0,3,6.47,3,1,116,1.0,2
0,601,3,2,2,1,0,2,6.36,0,1,110,3.83,2
1,1441,5,2,1,1,1,2,5.86,1,1,112,3.21,2
0,886,2,3,1,1,0,2,5.14,0,1,107,3.85,2
0,791,1,3,1,0,0,3,6.51,3,1,157,2.83,3
0,774,1,3,1,2,0,1,7.54,0,1,157,2.83,3
1,1804,4,3,2,1,0,3,8.23,1,2,129,3.42,2
0,643,3,3,2,2,1,3,6.43,1,1,160,2.83,3
1,2221,3,3,1,0,0,3,8.07,0,2,158,4.64,3
0,743,3,3,1,0,0,3,7.4,1,1,168,4.07,3
2,731,4,3,2,0,0,2,3.77,1,0,405,3.96,5
1,2075,5,1,1,0,0,3,6.95,0,1,141,4.73,2
0,913,3,2,1,0,0,3,7.3,1,1,146,4.1,2
1,1321,2,4,1,3,1,3,7.12,3,1,102,1.02,2
0,651,4,3,0,1,1,3,5.9,0,1,80,4.19,1
1,2289,5,4,2,1,0,3,7.4,0,1,159,4.08,3
0,975,3,2,2,0,0,3,6.42,0,1,169,4.7,3
1,1553,3,4,1,0,0,0,4.18,0,1,97,3.86,1
4,306,0,1,2,1,1,3,4.15,0,1,81,3.57,1
1,1260,4,1,1,0,0,3,6.5,0,1,113,4.77,2
1,1338,3,2,1,0,0,2,5.74,0,1,89,4.49,1
1,1313,2,4,0,0,0,3,8.31,0,2,163,4.63,3
0,765,3,2,1,0,1,3,6.47,0,1,160,4.71,3
2,503,7,3,1,0,0,3,3.36,0,0,1,4.99,0
2,704,7,2,1,0,1,0,5.5,1,1,94,3.23,1
0,316,1,1,1,0,1,3,6.13,0,1,83,4.81,1
5,1978,3,1,2,0,0,3,7.01,0,1,147,4.72,2
0,925,1,3,1,0,1,1,6.53,0,1,139,4.11,2
3,2627,11,5,1,0,1,3,5.47,0,1,112,4.78,2
0,560,2,3,1,0,0,3,7.47,1,1,164,4.07,3
0,411,4,1,1,1,1,2,5.46,1,1,87,3.24,1
2,855,5,2,1,0,0,1,6.56,0,1,128,4.12,2
0,605,2,3,2,0,-1,3,5.65,0,1,80,4.82,1
1,1780,4,4,0,1,0,0,7.3,0,1,165,3.13,3
2,951,4,2,1,0,0,1,6.69,1,1,165,3.45,3
1,1671,4,2,2,0,0,3,6.16,0,1,112,4.77,2
1,2268,4,3,1,0,0,3,7.64,0,1,151,4.72,3
0,724,4,2,2,0,0,1,7.49,0,1,95,4.16,1
1,1284,5,4,2,0,1,2,6.77,0,1,150,4.41,2
0,474,2,2,1,0,0,3,7.41,0,1,139,4.73,2
1,1788,4,1,2,1,0,3,6.08,1,1,113,3.52,2
1,2104,4,4,2,1,0,3,7.5,0,2,105,4.08,2
1,1433,4,4,1,2,0,1,5.16,1,1,102,2.28,2
1,2002,2,2,1,0,1,3,7.49,0,1,166,4.7,3
2,512,4,3,1,3,0,3,7.01,2,1,83,1.67,1
0,747,1,3,0,0,0,1,6.45,0,1,118,4.14,2
0,853,4,3,1,1,0,2,6.97,0,1,88,3.86,1
1,1315,5,2,1,2,0,3,6.4,0,1,87,3.55,1
4,373,0,1,1,0,0,2,8.31,2,2,197,3.02,3
4,435,3,1,0,0,0,3,6.07,0,1,93,4.8,1
0,722,4,1,1,3,0,3,6.66,1,1,140,2.23,2
0,15313,2,3,0,0,1,1,7.87,1,1,122,3.5,2
0,855,4,2,1,2,1,3,8.34,0,2,317,3.35,5
2,460,7,1,1,0,1,2,4.78,0,1,113,3.84,2
0,268,1,3,0,1,0,3,6.2,3,1,133,2.24,2
0,975,4,2,1,0,0,3,7.78,1,1,108,4.14,2
2,1142,6,1,1,0,0,2,8.41,2,2,198,3.02,3
1,1238,3,1,1,1,0,3,5.47,1,1,87,3.55,1
3,2293,14,2,0,0,0,2,6.72,0,1,120,4.45,2
0,643,4,1,1,0,0,2,6.25,3,1,152,2.53,3
2,798,7,2,2,0,0,3,7.32,0,1,148,4.72,2
0,353,3,2,1,0,0,3,2.66,0,0,56,4.93,1
0,288,4,3,1,1,0,2,6.26,0,1,133,3.81,2
1,1586,2,4,1,0,0,3,6.15,0,1,168,4.7,3
1,1576,2,2,1,1,0,3,6.42,0,1,118,4.14,2
1,1795,3,2,0,2,0,3,6.36,2,0,140,2.29,2
3,2967,14,5,1,2,0,3,7.45,1,1,118,2.88,2
0,274,1,3,0,0,0,3,4.38,1,1,108,4.16,2
0,481,1,1,1,0,0,3,5.67,1,1,88,4.18,1
0,522,1,2,1,1,0,3,5.59,1,1,111,3.52,2
